source,target,relation,observed,evidence
asset:A01,logsource:Security,emits,0,A01:Security
logsource:Security,platform:Wazuh,collected_by,0,A01:Security
asset:A01,logsource:Sysmon,emits,1,A01:Sysmon
logsource:Sysmon,platform:Wazuh,collected_by,1,A01:Sysmon
asset:A02,logsource:ossec,emits,1,A02:ossec
logsource:ossec,platform:Wazuh,collected_by,1,A02:ossec
asset:A02,logsource:misp_enrichment,emits,1,A02:misp_enrichment
logsource:misp_enrichment,platform:Wazuh,collected_by,1,A02:misp_enrichment
asset:A03,logsource:misp_api,emits,1,A03:misp_api
logsource:misp_api,platform:Wazuh,collected_by,1,A03:misp_api
asset:A07,logsource:pfsense_syslog,emits,1,A07:pfsense_syslog
logsource:pfsense_syslog,platform:Wazuh,collected_by,1,A07:pfsense_syslog
asset:A04,logsource:Security,emits,1,A04:Security
logsource:Security,platform:Wazuh,collected_by,1,A04:Security
asset:A04,logsource:Sysmon,emits,1,A04:Sysmon
logsource:Sysmon,platform:Wazuh,collected_by,1,A04:Sysmon
asset:A04,logsource:PowerShell,emits,1,A04:PowerShell
logsource:PowerShell,platform:Wazuh,collected_by,1,A04:PowerShell
asset:A05,logsource:authlog,emits,1,A05:authlog
logsource:authlog,platform:Wazuh,collected_by,1,A05:authlog
asset:A05,logsource:syslog,emits,1,A05:syslog
logsource:syslog,platform:Wazuh,collected_by,1,A05:syslog
asset:A05,logsource:process,emits,1,A05:process
logsource:process,platform:Wazuh,collected_by,1,A05:process
asset:A01,control:C001,protected_by,1,C001
control:C001,logsource:Sysmon,uses_log_source,1,C001
control:C001,rule:110006,produces_rule,1,C001
rule:110006,platform:Wazuh,alerted_in,1,C001
control:C001,mitre:T1071.004,detects_technique,1,C001
asset:A01,control:C002,protected_by,1,C002
control:C002,logsource:Sysmon,uses_log_source,1,C002
control:C002,rule:110005,produces_rule,1,C002
rule:110005,platform:Wazuh,alerted_in,1,C002
control:C002,mitre:T1071.004,detects_technique,1,C002
asset:A01,control:C003,protected_by,1,C003
control:C003,logsource:Sysmon,uses_log_source,1,C003
control:C003,rule:92057,produces_rule,1,C003
rule:92057,platform:Wazuh,alerted_in,1,C003
control:C003,mitre:T1059.001,detects_technique,1,C003
asset:A01,control:C004,protected_by,1,C004
control:C004,logsource:Sysmon,uses_log_source,1,C004
control:C004,rule:92052,produces_rule,1,C004
rule:92052,platform:Wazuh,alerted_in,1,C004
control:C004,mitre:T1059.003,detects_technique,1,C004
asset:A01,control:C005,protected_by,0,C005
control:C005,logsource:Security,uses_log_source,0,C005
control:C005,rule:60106,produces_rule,0,C005
rule:60106,platform:Wazuh,alerted_in,0,C005
control:C005,mitre:T1078,detects_technique,0,C005
asset:A02,control:C006,protected_by,1,C006
control:C006,logsource:Wazuh,uses_log_source,1,C006
control:C006,rule:110100,produces_rule,1,C006
rule:110100,platform:Wazuh,alerted_in,1,C006
control:C006,mitre:T1071.004,detects_technique,1,C006
asset:A01,control:C007,protected_by,1,C007
control:C007,logsource:Sysmon,uses_log_source,1,C007
control:C007,rule:110010,produces_rule,1,C007
rule:110010,platform:Wazuh,alerted_in,1,C007
control:C007,mitre:T1087,detects_technique,1,C007
asset:A01,control:C008,protected_by,1,C008
control:C008,logsource:Sysmon,uses_log_source,1,C008
control:C008,rule:110011,produces_rule,1,C008
rule:110011,platform:Wazuh,alerted_in,1,C008
control:C008,mitre:T1482,detects_technique,1,C008
asset:A01,control:C009,protected_by,1,C009
control:C009,logsource:Sysmon,uses_log_source,1,C009
control:C009,rule:110012,produces_rule,1,C009
rule:110012,platform:Wazuh,alerted_in,1,C009
control:C009,mitre:T1016,detects_technique,1,C009
asset:A01,control:C010,protected_by,1,C010
control:C010,logsource:Sysmon,uses_log_source,1,C010
control:C010,rule:110013,produces_rule,1,C010
rule:110013,platform:Wazuh,alerted_in,1,C010
control:C010,mitre:T1105,detects_technique,1,C010
asset:A01,control:C011,protected_by,1,C011
control:C011,logsource:Sysmon,uses_log_source,1,C011
control:C011,rule:110014,produces_rule,1,C011
rule:110014,platform:Wazuh,alerted_in,1,C011
control:C011,mitre:T1135,detects_technique,1,C011
asset:A01,control:C012,protected_by,1,C012
control:C012,logsource:Sysmon,uses_log_source,1,C012
control:C012,rule:110011,produces_rule,1,C012
rule:110011,platform:Wazuh,alerted_in,1,C012
control:C012,mitre:T1018,detects_technique,1,C012
asset:A01,control:C013,protected_by,1,C013
control:C013,logsource:Sysmon,uses_log_source,1,C013
control:C013,rule:110012,produces_rule,1,C013
rule:110012,platform:Wazuh,alerted_in,1,C013
control:C013,mitre:T1049,detects_technique,1,C013
asset:A07,control:C014,protected_by,1,C014
control:C014,logsource:pfsense_syslog,uses_log_source,1,C014
control:C014,rule:110200,produces_rule,1,C014
rule:110200,platform:Wazuh,alerted_in,1,C014
control:C014,mitre:T1046,detects_technique,1,C014
asset:A07,control:C015,protected_by,1,C015
control:C015,logsource:pfsense_syslog,uses_log_source,1,C015
control:C015,rule:110201,produces_rule,1,C015
rule:110201,platform:Wazuh,alerted_in,1,C015
control:C015,mitre:T1046,detects_technique,1,C015
asset:A07,control:C016,protected_by,1,C016
control:C016,logsource:pfsense_syslog,uses_log_source,1,C016
control:C016,rule:110203,produces_rule,1,C016
rule:110203,platform:Wazuh,alerted_in,1,C016
control:C016,mitre:T1071.001,detects_technique,1,C016
asset:A04,control:C017,protected_by,1,C017
control:C017,logsource:Security,uses_log_source,1,C017
control:C017,rule:110223,produces_rule,1,C017
rule:110223,platform:Wazuh,alerted_in,1,C017
control:C017,mitre:T1078,detects_technique,1,C017
asset:A04,control:C018,protected_by,1,C018
control:C018,logsource:Sysmon,uses_log_source,1,C018
control:C018,rule:110220,produces_rule,1,C018
rule:110220,platform:Wazuh,alerted_in,1,C018
control:C018,mitre:T1087,detects_technique,1,C018
asset:A04,control:C019,protected_by,1,C019
control:C019,logsource:PowerShell,uses_log_source,1,C019
control:C019,rule:110222,produces_rule,1,C019
rule:110222,platform:Wazuh,alerted_in,1,C019
control:C019,mitre:T1059.001,detects_technique,1,C019
asset:A05,control:C020,protected_by,1,C020
control:C020,logsource:authlog,uses_log_source,1,C020
control:C020,rule:110230,produces_rule,1,C020
rule:110230,platform:Wazuh,alerted_in,1,C020
control:C020,mitre:T1110,detects_technique,1,C020
asset:A05,control:C021,protected_by,1,C021
control:C021,logsource:syslog,uses_log_source,1,C021
control:C021,rule:110231,produces_rule,1,C021
rule:110231,platform:Wazuh,alerted_in,1,C021
control:C021,mitre:T1082,detects_technique,1,C021
asset:A05,control:C022,protected_by,1,C022
control:C022,logsource:process,uses_log_source,1,C022
control:C022,rule:110232,produces_rule,1,C022
rule:110232,platform:Wazuh,alerted_in,1,C022
control:C022,mitre:T1046,detects_technique,1,C022
asset:A04,control:C023,protected_by,1,C023
control:C023,logsource:Security,uses_log_source,1,C023
control:C023,rule:110240,produces_rule,1,C023
rule:110240,platform:Wazuh,alerted_in,1,C023
control:C023,mitre:T1078,detects_technique,1,C023
asset:A04,control:C024,protected_by,1,C024
control:C024,logsource:Sysmon,uses_log_source,1,C024
control:C024,rule:110241,produces_rule,1,C024
rule:110241,platform:Wazuh,alerted_in,1,C024
control:C024,mitre:T1087,detects_technique,1,C024
asset:A04,control:C025,protected_by,1,C025
control:C025,logsource:Sysmon,uses_log_source,1,C025
control:C025,rule:110242,produces_rule,1,C025
rule:110242,platform:Wazuh,alerted_in,1,C025
control:C025,mitre:T1016,detects_technique,1,C025
asset:A04,control:C026,protected_by,1,C026
control:C026,logsource:PowerShell,uses_log_source,1,C026
control:C026,rule:110243,produces_rule,1,C026
rule:110243,platform:Wazuh,alerted_in,1,C026
control:C026,mitre:T1059.001,detects_technique,1,C026
asset:A04,control:C027,protected_by,1,C027
control:C027,logsource:Sysmon,uses_log_source,1,C027
control:C027,rule:110244,produces_rule,1,C027
rule:110244,platform:Wazuh,alerted_in,1,C027
control:C027,mitre:T1071.004,detects_technique,1,C027
platform:MISP,ioc:cti-test.example.com,contains_ioc,1,cti-test.example.com
platform:Wazuh,platform:MISP,queries,1,cti-test.example.com
ioc:cti-test.example.com,rule:110100,converted_to_alert,1,cti-test.example.com
rule:110100,platform:Wazuh,alerted_in,1,cti-test.example.com
platform:MISP,ioc:203.0.113.66,contains_ioc,1,203.0.113.66
platform:Wazuh,platform:MISP,queries,1,203.0.113.66
ioc:203.0.113.66,rule:110203,converted_to_alert,1,203.0.113.66
rule:110203,platform:Wazuh,alerted_in,1,203.0.113.66
metric:LC,score:SACI,contributes_to,1,100.0
metric:CAC,score:SACI,contributes_to,1,100.0
metric:MDC,score:SACI,contributes_to,1,100.0
metric:CTIC,score:SACI,contributes_to,1,100.0
metric:TF,score:SACI,contributes_to,1,50
metric:SACI,score:SACI,contributes_to,1,95.0
