asset_id,hostname,log_source,expected,observed,asset_criticality,source_weight,last_seen
A01,DC01,Security,1,1,5.0,5.0,2026-06-27T18:34:56.082605+00:00
A01,DC01,Sysmon,1,1,5.0,4.0,2026-07-08T15:18:37.603129+00:00
A02,WSIEM,ossec,1,1,5.0,2.0,2026-06-27T18:34:56.082605+00:00
A02,WSIEM,misp_enrichment,1,1,5.0,4.0,2026-07-08T23:21:03.579315+00:00
A03,CTI01,misp_api,1,1,4.0,4.0,2026-06-27T18:34:56.082605+00:00
A07,FW01-PFSENSE,pfsense_syslog,1,1,5.0,5.0,2026-06-27T18:34:56.149396+00:00
A04,WS01,Security,1,1,4.0,4.0,2026-07-08T12:01:05+00:00
A04,WS01,Sysmon,1,1,4.0,3.0,2026-07-08T12:01:09+00:00
A04,WS01,PowerShell,1,1,4.0,3.0,2026-07-08T23:21:03.579315+00:00
A05,uhost,authlog,1,1,4.0,4.0,2026-07-08T12:01:02+00:00
A05,uhost,syslog,1,1,4.0,2.0,2026-07-08T12:01:03+00:00
A05,uhost,process,1,1,4.0,3.0,2026-07-08T12:01:04+00:00
